,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9709,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19135650.0,19135650.0,,1,,,,2022-08-29T15:16:00.000Z,20188.643274523005,31391498441.496216,23.1881,-0.10382503,1.2627772,-5.06166925,-17.34076593,5.46733318,-36.09507075,386322811676.12616,39.6133,423961508764.98,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
1,1027,Ethereum,ETH,ethereum,6058,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,122158688.124,122158688.124,,2,,,,2022-08-29T15:16:00.000Z,1515.1259632283654,17396176457.902096,23.8901,0.24742555,2.57697304,-3.47586271,-11.92834871,47.51023028,-22.40147578,185085800010.589,18.9806,185085800010.59,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
2,825,Tether,USDT,tether,38994,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67549664120.38852,69156782826.60999,,3,,,,2022-08-29T15:16:00.000Z,1.0000084722155493,44556479339.82671,24.9485,-0.00599176,0.0009965,0.00314464,-0.03126501,0.10920526,0.06269446,67550236415.70323,6.9273,69157368737.78,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-29 15:20:33.561117
3,3408,USD Coin,USDC,usd-coin,6007,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,52209728764.20732,52209728764.20732,,4,,,,2022-08-29T15:16:00.000Z,1.0000230438384812,17587561746.072166,164.0058,-0.01189207,0.00382605,-0.01102668,-0.00115808,-0.01485175,-0.00121882,52210931876.76411,5.3539,52210931876.76,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-29 15:20:33.561117
4,1839,BNB,BNB,bnb,1091,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-29T15:16:00.000Z,283.3801684416666,990510729.339768,18.6554,0.21997925,1.60418634,-4.16708129,-4.33313499,33.81629359,-10.85144903,45719780223.60135,4.6886,56676033688.33,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
5,4687,Binance USD,BUSD,binance-usd,4922,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,19178267689.909256,19178267689.909256,,6,,,,2022-08-29T15:16:00.000Z,1.0004094524520295,5478540798.954011,44.1714,0.00637989,0.00843471,0.04376653,0.15883355,-0.17483754,-0.07334097,19186120278.640568,1.9675,19186120278.64,,2022-08-29T15:16:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-29 15:20:33.561117
6,52,XRP,XRP,xrp,808,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49537223666.0,99989330486.0,,7,,,,2022-08-29T15:16:00.000Z,0.32821913311958645,974105665.8397096,67.8276,-0.16093079,-2.06064102,-2.42861162,-17.79079453,5.58126174,-20.25617789,16259064608.805582,1.6674,32821913311.96,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
7,2010,Cardano,ADA,cardano,563,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34817081516.934,,8,,,,2022-08-29T15:16:00.000Z,0.4467374830184655,653740283.2537973,20.8644,0.25459948,1.14964729,-1.21795305,-17.44220655,0.94816807,-27.65726487,15072488678.616623,1.5455,20103186735.83,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
8,5426,Solana,SOL,solana,372,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,349511756.866616,511616946.142289,,9,,,,2022-08-29T15:16:00.000Z,31.766865888134276,862068002.9678357,44.5588,-0.24876663,0.68697087,-7.56487063,-28.44893673,-0.31416916,-30.17397024,11102893106.707985,1.1387,16252466914.2,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
9,74,Dogecoin,DOGE,dogecoin,555,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-08-29T15:16:00.000Z,0.06349990954303676,337837622.91627496,12.5554,-0.10710891,-0.10950474,-4.94312248,-11.30148872,-1.20394311,-24.89035602,8424581532.048825,0.864,8424581532.05,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
